Exam1,Exam2,Total
98.3,100,99
98.3,98.8,98.9
96.7,100,98.6
94.3,98.6,97.8
95.7,100,97.2
98.6,94.4,96.5
98.3,98.8,95.8
95.7,93.1,95.7
86.7,95,95.4
91.7,96.9,95.2
100,95.8,95.1
91.4,98.6,94.8
87.1,98.6,94.8
93.3,97.5,94.4
87.1,86.1,94.1
92.9,91.7,94
82.9,94.4,93.7
96.7,92.5,93.6
92.9,90.3,92.8
94.3,88.9,92.7
100,78.8,92.7
95,90,92.6
84.3,86.1,92.5
91.4,94.4,92.2
90,88.8,91.8
81.4,84.7,91.7
83.3,95,91.7
94.3,86.1,91.5
95,93.8,91.4
96.7,86.3,91.3
85.7,95.8,91.3
85,91.3,91.2
93.3,91.3,90.7
93.3,87.5,90.4
68.3,96.3,90.3
83.3,88.8,90
78.6,94.4,89.9
86.7,76.3,89.7
98.3,86.3,89.6
93.3,90,89.4
94.3,97.2,89.4
88.6,86.1,89.3
93.3,91.3,89.3
77.1,88.9,89.2
85.7,91.7,89.2
90,93.8,89.2
81.4,83.3,88.9
78.3,92.5,88.7
74.3,93.1,88.6
88.6,79.2,88.5
88.6,80.6,88.3
80,87.5,87.8
87.1,80.6,87
82.9,70.8,87
85,95,86.9
81.4,97.2,86.5
78.6,83.3,86.5
85,88.8,85.9
91.7,90,85.8
78.6,69.4,84.4
100,67.5,83.9
86.7,77.5,83.7
77.1,77.8,83.4
86.7,67.5,83
75.7,65.3,80.6
85.7,69.4,80.6
78.6,75,79.7
73.3,71.3,79.6
57.1,77.8,79.5
76.7,76.3,79.2
68.6,81.9,78
64.3,76.4,77.2
83.3,67.5,77.1
85.7,72.2,77.1
71.7,65,77
74.3,83.3,76.6
65.7,70.8,76.4
68.6,72.2,76.3
50,60,76
72.9,58.3,74.5
81.4,63.9,74.4
71.7,73.8,74.1
65.7,61.1,73.4
66.7,71.3,72.9
94.3,58.3,72.4
58.3,80,71.1
62.9,69.4,70.7
75,62.5,70.7
54.3,52.8,69.9
70,61.3,69.5
60,55,68.3
50,72.2,66.4
70,65,66.4
70,51.4,66
50,51.3,56.9
56.7,48.8,56.3
70,47.5,56.2
35.7,70.8,55.2
53.3,47.5,49.9
